Name,Company,Year,Price,KMS_Driven,Fuel_Type,Transmission,Current Year,Age
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,"80,000","45,000 kms",Petrol,Manual,2021,14
Mahindra Jeep CL550 MDI,Mahindra,2006,"4,25,000",40 kms,Diesel,Manual,2021,15
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,"3,25,000","28,000 kms",Petrol,Automatic,2021,7
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"5,75,000","36,000 kms",Diesel,Manual,2021,7
Ford Figo,Ford,2012,"1,75,000","41,000 kms",Diesel,Automatic,2021,9
Hyundai Eon,Hyundai,2013,"1,90,000","25,000 kms",Petrol,Manual,2021,8
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"8,30,000","24,530 kms",Diesel,Manual,2021,5
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,"2,50,000","60,000 kms",Petrol,Manual,2021,6
Skoda Fabia Classic 1.2 MPI,Skoda,2010,"1,82,000","60,000 kms",Petrol,Automatic,2021,11
Maruti Suzuki Stingray VXi,Maruti,2015,"3,15,000","30,000 kms",Petrol,Manual,2021,6
Hyundai Elite i20 Magna 1.2,Hyundai,2014,"4,15,000","32,000 kms",Petrol,Automatic,2021,7
Mahindra Scorpio SLE BS IV,Mahindra,2015,"3,20,000","48,660 kms",Diesel,Automatic,2021,6
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,"80,000","45,000 kms",Petrol,Manual,2021,14
Mahindra Jeep CL550 MDI,Mahindra,2006,"4,25,000",40 kms,Diesel,Manual,2021,15
Audi A8,Audi,2017,"10,00,000","4,000 kms",Petrol,Manual,2021,4
Audi Q7,Audi,2014,"5,00,000","16,934 kms",Diesel,Manual,2021,7
Mahindra Scorpio S10,Mahindra,2016,"3,50,000","43,000 kms",Diesel,Automatic,2021,5
Maruti Suzuki Alto 800,Maruti,2014,"1,60,000","35,550 kms",Petrol,Automatic,2021,7
Mahindra Scorpio S10,Mahindra,2016,"3,50,000","43,000 kms",Diesel,Manual,2021,5
Mahindra Scorpio S10,Mahindra,2016,"3,10,000","39,522 kms",Diesel,Automatic,2021,5
Maruti Suzuki Alto 800 Vxi,Maruti,2015,"75,000","39,000 kms",Petrol,Manual,2021,6
Hyundai i20 Sportz 1.2,Hyundai,2012,"1,00,000","55,000 kms",Petrol,Automatic,2021,9
Hyundai i20 Sportz 1.2,Hyundai,2012,"1,00,000","55,000 kms",Petrol,Manual,2021,9
Hyundai i20 Sportz 1.2,Hyundai,2012,"1,00,000","55,000 kms",Petrol,Manual,2021,9
Maruti Suzuki Alto 800 Lx,Maruti,2017,"1,90,000","72,000 kms",Petrol,Manual,2021,4
Maruti Suzuki Vit Brezza ZDi,Maruti,2016,"2,90,000","15,975 kms",Diesel,Manual,2021,5
Maruti Suzuki Alto LX,Maruti,2008,"95,000","70,000 kms",Petrol,Manual,2021,13
Mahindra Bolero DI,Mahindra,2017,"1,80,000","23,452 kms",Diesel,Manual,2021,4
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,"3,85,000","35,522 kms",Diesel,Manual,2021,7
Mahindra Scorpio S10 4WD,Mahindra,2015,"2,50,000","48,508 kms",Diesel,Automatic,2021,6
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,"1,80,000","15,487 kms",Petrol,Automatic,2021,4
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,"1,05,000","39,000 kms",Petrol,Manual,2021,8
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,"1,05,000","39,000 kms",Petrol,Manual,2021,8
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,"6,50,000","82,000 kms",Diesel,Manual,2021,9
Renault Lodgy 85 PS RXL,Renault,2018,"6,89,999","20,000 kms",Diesel,Manual,2021,3
Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,"4,48,000","68,000 kms",Diesel,Automatic,2021,9
Maruti Suzuki Baleno Delta 1.2,Maruti,2017,"5,49,000","32,000 kms",Diesel,Manual,2021,4
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,"5,01,000","38,000 kms",Diesel,Manual,2021,9
Renault Duster 85 PS RxE Diesel,Renault,2013,"4,89,999","27,000 kms",Diesel,Manual,2021,8
Honda City 1.5 S MT,Honda,2011,"2,80,000","33,000 kms",Petrol,Manual,2021,10
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,"2,50,000","60,000 kms",Petrol,Manual,2021,6
Maruti Suzuki Dzire,Maruti,2013,"3,49,999","46,000 kms",Diesel,Automatic,2021,8
Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel,Automatic,2021,8
Honda Amaze 1.5 SX i DTEC,Honda,2015,"3,45,000","36,000 kms",Diesel,Manual,2021,6
Honda City,Honda,2015,"4,99,999","55,000 kms",Petrol,Manual,2021,6
Datsun Redi GO S,Datsun,2017,"2,35,000","16,000 kms",Petrol,Manual,2021,4
Maruti Suzuki SX4 ZXI MT,Maruti,2010,"2,49,999","36,000 kms",Petrol,Manual,2021,11
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"14,75,000","47,000 kms",Diesel,Automatic,2021,6
Mahindra Bolero DI,Mahindra,2017,"1,80,000","23,452 kms",Diesel,Manual,2021,4
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,"3,85,000","35,522 kms",Diesel,Manual,2021,7
Mahindra Scorpio S10 4WD,Mahindra,2015,"2,50,000","48,508 kms",Diesel,Manual,2021,6
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,"1,80,000","15,487 kms",Petrol,Manual,2021,4
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,"1,05,000","39,000 kms",Petrol,Manual,2021,8
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,"1,05,000","39,000 kms",Petrol,Manual,2021,8
Mahindra Scorpio S10,Mahindra,2015,"3,95,000","35,000 kms",Diesel,Manual,2021,6
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,"2,20,000","30,874 kms",Petrol,Automatic,2021,4
Honda City ZX CVT,Honda,2017,"1,70,000","15,000 kms",Diesel,Manual,2021,4
Maruti Suzuki Wagon R LX BS IV,Maruti,2013,"85,000","29,685 kms",Petrol,Manual,2021,8
Ford Figo,Ford,2012,"1,75,000","41,000 kms",Diesel,Manual,2021,9
Hyundai Eon,Hyundai,2013,"1,90,000","25,000 kms",Petrol,Automatic,2021,8
Tata Indigo eCS LS CR4 BS IV,Tata,2017,"2,00,000","1,30,000 kms",Diesel,Manual,2021,4
